row_id,order_id,order_date,days to ship,ship_date,order_status,category_id,category_dsc,sub_category_id,sub_category_dsc,item_number,item_dsc,item_brand,order_quantity,sales,unit_price,product_margin,customer_id,customer_first_name,customer_last_name,email_newsletter,city,state
29831,16074,4/25/2015,0,4/25/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,1,Juan,Smith,Yes,Abilene,Texas
24570,15128,5/13/2015,1,5/14/2015,complete,1,Accessories,3,Baskets,5,Sunlight Handlebar Basket,Sunlight,1,$25.00,$25.00,0.48,5,Benjamín,Jones,No,Allentown,Pennsylvania
28946,14850,5/16/2015,2,5/18/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,208,Gerard,Ray,No,Amarillo,Texas
25836,16691,12/31/2015,0,12/31/2015,complete,1,Accessories,3,Baskets,5,Sunlight Handlebar Basket,Sunlight,2,$50.00,$25.00,0.48,7,Veeti,Davis,Yes,Anaheim,California
6693,6693,12/6/2014,1,12/7/2014,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,1,$35.99,$35.99,0.32,8,Enzo,Garcia,No,Austin,Texas
26200,17082,12/3/2015,1,12/4/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,208,Gerard,Ray,No,Austin,Texas
29216,15241,5/28/2015,2,5/30/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,8,Enzo,Garcia,No,Austin,Texas
6050,6050,5/19/2014,2,5/21/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,2,$30.00,$15.00,0.21,9,Alexander,Rodriguez,No,Ann Arbor,Michigan
667,667,12/19/2012,0,12/19/2012,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,1,$35.99,$35.99,0.32,10,Shasta,Wilson,Yes,Antioch,California
27152,15435,5/10/2015,2,5/12/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,10,Shasta,Wilson,Yes,Antioch,California
766,766,2/7/2013,0,2/7/2013,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,10,Shasta,Wilson,Yes,Antioch,California
17271,7458,12/12/2014,1,12/13/2014,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,11,Shun,Martinez,Yes,Austin,Texas
21717,15286,5/29/2015,0,5/29/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,11,Shun,Martinez,Yes,Austin,Texas
29696,15892,3/26/2015,1,3/27/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,11,Shun,Martinez,Yes,Austin,Texas
10062,5115,6/28/2014,1,6/29/2014,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,208,Gerard,Ray,No,Arvada,Colorado
10217,5270,5/13/2014,0,5/13/2014,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,208,Gerard,Ray,No,Arvada,Colorado
7493,7493,12/26/2014,0,12/26/2014,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,208,Gerard,Ray,No,Arvada,Colorado
19004,5951,6/6/2014,0,6/6/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,3,$45.00,$15.00,0.21,12,Joshua,Anderson,Yes,Arvada,Colorado
6188,6188,12/5/2014,2,12/7/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,13,Matthew,Taylor,Yes,Atlanta,Georgia
20092,7039,12/2/2014,1,12/3/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,13,Matthew,Taylor,Yes,Atlanta,Georgia
21254,8202,6/26/2012,1,6/27/2012,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,13,Matthew,Taylor,Yes,Atlanta,Georgia
9773,4826,5/17/2014,1,5/18/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,2,$30.00,$15.00,0.21,14,Michael,Thomas,Yes,Atlanta,Georgia
29066,15013,8/17/2015,3,8/20/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,15,Jan,Hernandez,Yes,Atlanta,Georgia
8059,3112,1/13/2014,0,1/13/2014,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,16,Benjamin,Moore,No,Boulder,Colorado
27826,16282,12/1/2015,1,12/2/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,17,Alejandro,Martin,No,Boulder,Colorado
26213,17095,12/20/2015,1,12/21/2015,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,17,Alejandro,Martin,No,Boulder,Colorado
21708,15266,3/8/2015,0,3/8/2015,complete,1,Accessories,3,Baskets,5,Sunlight Handlebar Basket,Sunlight,1,$25.00,$25.00,0.48,18,Iker,Jackson,Yes,Austin,Texas
30434,16855,12/30/2015,0,12/30/2015,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,208,Gerard,Ray,No,Austin,Texas
23335,17315,12/22/2015,1,12/23/2015,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,18,Iker,Jackson,Yes,Austin,Texas
17825,3065,8/21/2013,1,8/22/2013,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,2,$71.98,$35.99,0.32,18,Iker,Jackson,Yes,Austin,Texas
11271,6324,12/3/2014,1,12/4/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,19,Marc,Thompson,Yes,Bakersfield,California
24693,15316,5/31/2015,2,6/2/2015,complete,1,Accessories,3,Baskets,5,Sunlight Handlebar Basket,Sunlight,1,$25.00,$25.00,0.48,20,Lucas,White,Yes,Baltimore,Maryland
20971,13590,4/25/2015,1,4/26/2015,complete,1,Accessories,3,Baskets,5,Sunlight Handlebar Basket,Sunlight,2,$50.00,$25.00,0.48,208,Gerard,Ray,No,New Orleans,Louisiana
5094,5094,5/8/2014,0,5/8/2014,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,3,$26.97,$8.99,0.37,22,Carlos,Lee,No,Beaumont,Texas
7054,7054,12/31/2014,0,12/31/2014,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,1,$35.99,$35.99,0.32,24,Thomas,Harris,Yes,Berkeley,California
28383,16967,12/8/2015,1,12/9/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,2,$17.98,$8.99,0.37,25,Lucas,Clark,Yes,Billings,Montana
30458,16893,12/20/2015,0,12/20/2015,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,1,$15.00,$15.00,0.21,29,Mathis,Perez,Yes,Boulder,Colorado
14925,5112,5/24/2014,3,5/27/2014,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,3,$40.50,$13.50,0.45,29,Mathis,Perez,Yes,Boulder,Colorado
1176,1176,7/15/2013,1,7/16/2013,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,2,$71.98,$35.99,0.32,31,Florence,Young,No,Broken Arrow,Oklahoma
7905,2958,12/5/2013,1,12/6/2013,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,2,$27.00,$13.50,0.45,208,Gerard,Ray,No,Broken Arrow,Oklahoma
14535,3016,6/8/2013,0,6/8/2013,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,3,$45.00,$15.00,0.21,31,Florence,Young,No,Broken Arrow,Oklahoma
14251,2732,8/8/2013,1,8/9/2013,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,3,$26.97,$8.99,0.37,32,Takumi,Allen,Yes,Brownsville,Texas
20677,13113,1/18/2015,2,1/20/2015,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,3,$26.97,$8.99,0.37,32,Takumi,Allen,Yes,Brownsville,Texas
15769,5956,5/18/2014,0,5/18/2014,complete,1,Accessories,2,Locks,4,Bricks Chain Lock,Bricks,2,$30.00,$15.00,0.21,33,Jack,Sanchez,Yes,Buffalo,New York
19381,6328,12/15/2014,2,12/17/2014,complete,1,Accessories,1,Bells,2,Pix 200 Bell,Pix,3,$26.97,$8.99,0.37,208,Gerard,Ray,No,Buffalo,New York
2922,2922,5/16/2013,1,5/17/2013,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,1,$35.99,$35.99,0.32,34,Luke,Wright,Yes,Burbank,California
21600,15056,5/24/2015,0,5/24/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,2,$27.00,$13.50,0.45,34,Luke,Wright,Yes,Burbank,California
21899,15682,5/25/2015,0,5/25/2015,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,1,$13.50,$13.50,0.45,35,Ronald,King,Yes,Cambridge,Massachusetts
18362,5309,3/22/2014,3,3/25/2014,complete,2,Accessories,1,Bells,1,Sunlight Thumb Bell,Sunlight,3,$40.50,$13.50,0.45,35,Ronald,King,Yes,Cambridge,Massachusetts
7061,7061,12/19/2014,0,12/19/2014,complete,1,Accessories,2,Locks,3,Maximo Lock,Maximo,1,$35.99,$35.99,0.32,36,Andrzej,Scott,No,Cape Coral,Florida
